title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,+aiken looks so tired in this ep omg get some rest aiken!!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"I really like chicken rice,it’s my favourite food"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,8 hours ago,I can tell that Ryan has been screaming a lot from his voice
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Foodking come to woodlands 11 and admiralty
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Dee Kosh on his phone during the Chicken Rice segment is legit <3 hahahahaha
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,yeah we get it the chicken rice might be the best but the son though🤤
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I went to the wantan mee place before!It is near my tuition place!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,PERANAKAN IS A STATE OF MIND.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),"Damn, Deekosh a really good poker face. I really thought he was going to say the chicken rice is normal 😂😂😂"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,They upgraded the surrounding area which was fast becoming unrecognisable.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"For all the good humor, I love watching Food King! The best!"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The son ia my favorite
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,4 hours ago,The chicken rice store owner’s son is Soki Wu on tiktok thank me later
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The chicken rice stall is really. Really. TRULY. Not that special. Zzzzzzzzz
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Wassup guys I enjoy this and the intro
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),"charizard can mega evolve broooooo 14:19

Hmm"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The coffeeshop at the back of junction 8 I think it is the 511 one? It's pretty good.
